qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
2.7894973754882812e-05,8.821487426757812e-06,6.9141387939453125e-06,1.0967254638671875e-05,7.867813110351562e-06,5.9604644775390625e-06,6.198883056640625e-06
1.2636184692382812e-05,1.0013580322265625e-05,6.198883056640625e-06,6.9141387939453125e-06,6.9141387939453125e-06,6.198883056640625e-06,3.600120544433594e-05
1.7881393432617188e-05,9.059906005859375e-06,8.106231689453125e-06,1.2874603271484375e-05,1.4066696166992188e-05,8.821487426757812e-06,1.71661376953125e-05
1.2159347534179688e-05,1.1920928955078125e-05,1.2874603271484375e-05,1.1205673217773438e-05,1.3113021850585938e-05,1.0967254638671875e-05,2.9802322387695312e-05
1.5020370483398438e-05,1.3828277587890625e-05,1.5974044799804688e-05,1.5735626220703125e-05,1.52587890625e-05,1.6927719116210938e-05,3.719329833984375e-05
1.9788742065429688e-05,1.71661376953125e-05,1.9073486328125e-05,2.002716064453125e-05,1.9788742065429688e-05,1.71661376953125e-05,3.62396240234375e-05
2.8848648071289062e-05,2.7894973754882812e-05,2.5987625122070312e-05,2.8848648071289062e-05,2.8848648071289062e-05,2.5987625122070312e-05,4.100799560546875e-05
2.5033950805664062e-05,2.4080276489257812e-05,2.574920654296875e-05,2.6941299438476562e-05,2.574920654296875e-05,2.4080276489257812e-05,4.982948303222656e-05
2.8371810913085938e-05,2.574920654296875e-05,2.6226043701171875e-05,2.6941299438476562e-05,2.8848648071289062e-05,2.7179718017578125e-05,6.103515625e-05
4.00543212890625e-05,3.886222839355469e-05,3.814697265625e-05,4.410743713378906e-05,4.00543212890625e-05,4.506111145019531e-05,7.200241088867188e-05
3.5762786865234375e-05,3.62396240234375e-05,3.409385681152344e-05,3.695487976074219e-05,3.409385681152344e-05,3.981590270996094e-05,8.106231689453125e-05
4.410743713378906e-05,4.1961669921875e-05,4.291534423828125e-05,4.482269287109375e-05,4.482269287109375e-05,5.0067901611328125e-05,8.106231689453125e-05
4.601478576660156e-05,4.38690185546875e-05,4.410743713378906e-05,4.887580871582031e-05,4.887580871582031e-05,4.696846008300781e-05,8.106231689453125e-05
7.581710815429688e-05,7.295608520507812e-05,7.700920104980469e-05,0.00011491775512695312,0.0002689361572265625,8.606910705566406e-05,0.00011014938354492188
5.698204040527344e-05,5.4836273193359375e-05,5.3882598876953125e-05,5.6743621826171875e-05,5.5789947509765625e-05,5.7220458984375e-05,7.081031799316406e-05
8.106231689453125e-05,8.0108642578125e-05,8.106231689453125e-05,8.177757263183594e-05,8.797645568847656e-05,6.413459777832031e-05,7.82012939453125e-05
7.796287536621094e-05,7.700920104980469e-05,7.700920104980469e-05,7.987022399902344e-05,7.915496826171875e-05,5.4836273193359375e-05,8.702278137207031e-05
5.698204040527344e-05,5.602836608886719e-05,5.507469177246094e-05,6.103515625e-05,5.91278076171875e-05,5.984306335449219e-05,0.0001499652862548828
7.390975952148438e-05,7.224082946777344e-05,7.081031799316406e-05,7.796287536621094e-05,7.700920104980469e-05,7.486343383789062e-05,0.00010704994201660156
0.00011897087097167969,0.00011801719665527344,0.00011587142944335938,0.00011682510375976562,0.0001227855682373047,8.606910705566406e-05,0.00011301040649414062
0.00010895729064941406,0.00011086463928222656,0.00010776519775390625,7.987022399902344e-05,0.00011110305786132812,8.487701416015625e-05,0.0001227855682373047
0.00011920928955078125,0.00011801719665527344,0.00011801719665527344,8.20159912109375e-05,0.00012111663818359375,9.608268737792969e-05,0.00013017654418945312
0.00011587142944335938,0.00011491775512695312,0.00011491775512695312,0.00011420249938964844,0.00011491775512695312,9.131431579589844e-05,0.00013780593872070312
0.00012683868408203125,0.0001251697540283203,0.00012683868408203125,7.796287536621094e-05,0.00013113021850585938,9.179115295410156e-05,0.000141143798828125
0.00012421607971191406,0.00012183189392089844,0.00011968612670898438,9.417533874511719e-05,0.00012803077697753906,9.822845458984375e-05,0.0001380443572998047
0.0001380443572998047,0.00013637542724609375,0.00013494491577148438,9.107589721679688e-05,0.0001239776611328125,9.655952453613281e-05,0.0001399517059326172
0.00016999244689941406,0.0001690387725830078,0.00016736984252929688,0.00012087821960449219,0.00013375282287597656,9.799003601074219e-05,0.0001399517059326172
0.0001971721649169922,0.00019884109497070312,0.00019812583923339844,0.00013208389282226562,0.0001537799835205078,0.000125885009765625,0.00016808509826660156
0.00020813941955566406,0.0005109310150146484,0.0005948543548583984,0.0004971027374267578,0.0004611015319824219,0.00024080276489257812,0.0007548332214355469
0.00033593177795410156,0.00021767616271972656,0.0002071857452392578,0.00011396408081054688,0.00014591217041015625,0.00011897087097167969,0.00014591217041015625
0.00017380714416503906,0.00018310546875,0.000102996826171875,0.0001430511474609375,0.00014901161193847656,0.000125885009765625,0.00014209747314453125
0.0001552104949951172,0.00020194053649902344,0.00014209747314453125,0.00010800361633300781,0.00012183189392089844,0.00013208389282226562,0.00015473365783691406
0.00017690658569335938,0.00023603439331054688,0.0002009868621826172,0.0001347064971923828,0.00011992454528808594,0.00013113021850585938,0.0001609325408935547
0.00016307830810546875,0.00020194053649902344,0.0002009868621826172,0.0001659393310546875,0.00016832351684570312,0.0001289844512939453,0.00016880035400390625
0.00017714500427246094,0.0002269744873046875,0.00022912025451660156,0.0001621246337890625,0.0001919269561767578,0.00015401840209960938,0.00017833709716796875
0.00019598007202148438,0.0002124309539794922,0.0002300739288330078,0.0001850128173828125,0.00016379356384277344,0.00015425682067871094,0.00018906593322753906
0.00019097328186035156,0.00023984909057617188,0.0002193450927734375,0.0001430511474609375,0.0001780986785888672,0.00018024444580078125,0.00019788742065429688
0.00017786026000976562,0.0001919269561767578,0.0002460479736328125,0.0001590251922607422,0.00019502639770507812,0.0001690387725830078,0.00020503997802734375
0.00019288063049316406,0.00023865699768066406,0.0002002716064453125,0.0001728534698486328,0.00017380714416503906,0.0001780986785888672,0.00021386146545410156
0.0002529621124267578,0.00023126602172851562,0.0002300739288330078,0.00015306472778320312,0.0002028942108154297,0.0001850128173828125,0.00022411346435546875
0.0002720355987548828,0.0003008842468261719,0.0002899169921875,0.00016617774963378906,0.00020194053649902344,0.00020194053649902344,0.00023293495178222656
0.00020313262939453125,0.0002899169921875,0.00026106834411621094,0.00021576881408691406,0.00023508071899414062,0.0002009868621826172,0.00024175643920898438
0.00017404556274414062,0.00023126602172851562,0.0002808570861816406,0.0002090930938720703,0.00019788742065429688,0.00020599365234375,0.0002498626708984375
0.00021386146545410156,0.00034809112548828125,0.0002372264862060547,0.00016498565673828125,0.00020313262939453125,0.00021076202392578125,0.00025916099548339844
0.00021886825561523438,0.0002510547637939453,0.0002167224884033203,0.0003161430358886719,0.000209808349609375,0.0002200603485107422,0.0002701282501220703
0.0002589225769042969,0.00027179718017578125,0.00028014183044433594,0.00019502639770507812,0.00025010108947753906,0.00021195411682128906,0.00027823448181152344
0.00028705596923828125,0.0002789497375488281,0.00025010108947753906,0.00018215179443359375,0.00021409988403320312,0.00022292137145996094,0.00028705596923828125
0.00026702880859375,0.00041604042053222656,0.00023698806762695312,0.0002319812774658203,0.00024175643920898438,0.00023293495178222656,0.0002880096435546875
0.0002429485321044922,0.0002770423889160156,0.0002498626708984375,0.0001819133758544922,0.0008370876312255859,0.0002269744873046875,0.0002961158752441406
0.00032520294189453125,0.00030612945556640625,0.0002651214599609375,0.00021982192993164062,0.0002162456512451172,0.0002372264862060547,0.0002868175506591797
0.0002880096435546875,0.0003559589385986328,0.00029969215393066406,0.000244140625,0.0002548694610595703,0.0002548694610595703,0.0002880096435546875
0.00025534629821777344,0.0003638267517089844,0.0002961158752441406,0.0003008842468261719,0.00024127960205078125,0.00025081634521484375,0.00028824806213378906
